latitude,longitude,device_timestamp,trip_id,trip_created_at,trip_closed_at,Invoice Number
13.7163,79.64074,04/02/25 16:19,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 15:39,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 15:49,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 16:09,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 16:29,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 15:59,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 17:29,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 17:09,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 16:49,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 17:19,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 16:39,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 16:59,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 17:39,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.71582,79.64018,04/02/25 18:09,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.69037,79.59085,04/02/25 18:29,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
13.7163,79.64074,04/02/25 17:49,34303961,2025-02-04T12:12:47Z,2025-02-11T06:43:01Z,TN/24-25/0002124
